Name,Web Url,Email Address,Address and Contact Number,Address,Contact Number,,,
"Philippine Council for Industry, Energy and Emerging Technology Research and Development (PCIEERD)",http://www.pcieerd.dost.gov.ph/,pcieerd@dost.gov.ph,"4th and 5th Level Science Heritage Bldg., Science Community Complex, Gen. Santos Avenue, Bicutan,  Taguig City 1631 837-29-26 (OED); 837-75-16 (ODED) 837-61-54 (OED);","4th and 5th Level Science Heritage Bldg., Science Community Complex, Gen. Santos Avenue, Bicutan,  Taguig City 1631",837-29-26 (OED); 837-75-16 (ODED) 837-61-54 (OED);,,,
" Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA)",http://www.pagasa.dost.gov.ph/,piias@pagasa.dost.gov.ph,"Science Garden Complex Agham Road, Diliman, Quezon City PHILIPPINES 1100 (632) 434-2696  (632) 434-2696","Science Garden Complex Agham Road, Diliman, Quezon City PHILIPPINES 1100 ",632) 434-2696  ,632) 434-2696,,
 Philippine Institute of Volcanology and Seismology  (PHIVOLCS),http://www.phivolcs.dost.gov.ph/,phivolcs_mail@phivolcs.dost.gov.ph,"PHIVOLCS Building, C.P. Garcia Avenue, U.P. Campus, Diliman Quezon City Philippines +632 426 1468 to 79 +632 929 8366, 927 4524","PHIVOLCS Building, C.P. Garcia Avenue, U.P. Campus, Diliman Quezon City Philippines ",632 426 1468 to 79 ,"632 929 8366, 927 4524",,
 Philippine Science High School System (PSHSS),http://www.pshs.edu.ph,oed@pshs.edu.ph,"Agham Road, Diliman, Quezon City (02) 924-0639 (02) 926-3137","Agham Road, Diliman, Quezon City ",02) 924-0639 ,02) 926-3137,,
Science and Technology Information Institute (STII),http://www.stii.dost.gov.ph,admin@stii.dost.gov.ph,"STII Bldg. DOST Complex,. General Santos Avenue, Bicutan, Taguig City (02) 837 7520","STII Bldg. DOST Complex,. General Santos Avenue, Bicutan, Taguig City ",02) 837 7520,,,
Science Education Institute (SEI),http://www.sei.dost.gov.ph/,science_scholarhips@yahoo.com,"2nd Level, Science Heritage Building, Sibol St. DOST Compound, General Santos Avenue, Bicutan, Taguig City 1631 (+632) 839-0083;  (+632) 837-1333;  (+632) 837-207  (+632) 839-0086","2nd Level, Science Heritage Building, Sibol St. DOST Compound, General Santos Avenue, Bicutan, Taguig City 1631 ",+632) 839-0083;  ,+632) 837-1333;  ,+632) 837-207  ,+632) 839-0086
 Technology Application and Promotion Institute (TAPI),http://www.tapi.dost.gov.ph/,tapi@dost.gov.ph,"DOST Complex, General Santos Avenue Bicutan Taguig City 1604 Philippines ","DOST Complex, General Santos Avenue Bicutan Taguig City 1604 Philippines ","OD 837-6188, IDD 838-1140, IBOD 837-6186, PDD 838- 838-1112 / 837-2936",,,
 Technology Resource Center (TRC),http://www.trc.dost.gov.ph/,trc_webadmin@dost.gov.ph,"Jacinta II Building, EDSA, Guadalupe Nuevo, Makati City (632) 822-07-41","Jacinta II Building, EDSA, Guadalupe Nuevo, Makati City ",632) 822-07-41,,,
 National Academy of Science and Technology (NAST),http://www.nast.ph/,nast@dost.gov.ph,"3rd Level Philippine Science Heritage Center DOST Complex, Bicutan, Taguig, 1631 Metro Manila (632) 837- 2071 to 82 ext. 2170-75 (632) 837-3170","3rd Level Philippine Science Heritage Center DOST Complex, Bicutan, Taguig, 1631 Metro Manila ",632) 837- 2071 to 82 ext. 2170-75 ,632) 837-3170,,
 National Research Council of the Philippines (NRCP),http://www.nrcp.dost.gov.ph/,nrcpinfo@nrcp.dost.gov.ph,"General Santos Avenue, Bicutan 1631 Taguig City PHILIPPINES +632 8376143; +632 8376142 +632 8390275","General Santos Avenue, Bicutan 1631 Taguig City PHILIPPINES ",632 8376143; ,632 8376142 ,632 8390275,
DOST CARAGA Region (DOST-CARAGA),http://www.caraga.dost.gov.ph/,lgvillacorta@dost.gov.ph,"NORMISTST Campus Ampayon,  Butuan City 8600  +63 (085) 342-5345 / 342-5345","NORMISTST Campus Ampayon,  Butuan City 8600  ",63 (085) 342-5345 / 342-5345,,,
DOST Cordillera Administrative Region (DOST-CAR),http://www.car.dost.gov.ph/,dost-car@burgos.slu.edu.ph,"La Trinidad, Benguet 2601 +63 (074) 422-0981 +63 (074) 422-2214","La Trinidad, Benguet 2601 ",63 (074) 422-0981 ,63 (074) 422-2214,,
DOST National Capital Region (DOST-NCR),http://www.ncr.dost.gov.ph/,ncr@dost.gov.ph,"DOST NCR Bldg., DOST Compound, Gen. Santos Avenue, Bicutan, Taguig City 1631 +63 (02) 837-2017 to 82 Locals 2017; 2018 +63 (02) 837-3162","DOST NCR Bldg., DOST Compound, Gen. Santos Avenue, Bicutan, Taguig City 1631 ",63 (02) 837-2017 to 82 Locals 2017; 2018 ,63 (02) 837-3162,,
DOST Region I (Region 1),http://www.region1.dost.gov.ph  ,erchan@dost.gov.ph,"DMMMSU-CET Campus,  City of San Fernando, La Union +63 (072) 700-888-3399 + 63 (072) 700-2372","DMMMSU-CET Campus,  City of San Fernando, La Union ",63 (072) 700-888-3399 , 63 (072) 700-2372,,
DOST Region II (Region 2),http://www.region2.dost.gov.ph/,uatejada@dost.gov.ph,"#2 Dalan na Paccurofon corner Matunong Street Regional Government Center Carig Sur,  Tuguegarao City, Cagayan 3500  +63 (078) 846-7241/304-8654","#2 Dalan na Paccurofon corner Matunong Street Regional Government Center Carig Sur,  Tuguegarao City, Cagayan 3500  ",63 (078) 846-7241/304-8654,,,
DOST Region III (Region 3),http://www.region3.dost.gov.ph/,vbmarioano@dost.gov.ph,"DOST Bldg., Government Center, Maimpis City of San Fernando, Pampanga 2000  +63 (045) 455-0800 / 861-3730","DOST Bldg., Government Center, Maimpis City of San Fernando, Pampanga 2000  ",63 (045) 455-0800 / 861-3730,,,
DOST Region IV-A CALABARZON (Region 4-A),http://www.region4a.dost.gov.ph/,dost4@dost.gov.ph,"Brgy. Timugan, Los Baños, Laguna 4030  +63 (049) 536-4997; (049) 536-5005","Brgy. Timugan, Los Baños, Laguna 4030  ",63 (049) 536-4997; (049) 536-5005,,,
DOST Region IV-B MIMAROPA (Region 4-B),http://www.region4b.dost.gov.ph/,mimaropa.dost@gmail.com,"2nd Floor Auxillary Building DOST Complex Bicutan, Taguig City 1631  +63 (02) 837-2071 local 2093","2nd Floor Auxillary Building DOST Complex Bicutan, Taguig City 1631  ",63 (02) 837-2071 local 2093,,,
DOST Region IX (Region 9),http://www.region9.dost.gov.ph/,blnmanzano@dost.gov.ph,"Pettit Barracks, Zamboanga City 7000 +63 (062)-992-1114","Pettit Barracks, Zamboanga City 7000 ",63 (062)-992-1114,,,
DOST Region V (Region 5),http://www.region5.dost.gov.ph/,region5@dost.gov.ph,"Regional Center Site,  Rawis, Legazpi City 4500 +63 (052) 820-5039","Regional Center Site,  Rawis, Legazpi City 4500 ",63 (052) 820-5039,,,
DOST Region VI (Region 6),http://www.region6.dost.gov.ph/,rrgelonga@dost.gov.ph,"Magsaysay Vilage, La Paz, Iloilo City 5000  +63 (033) 320-0908","Magsaysay Vilage, La Paz, Iloilo City 5000  ",63 (033) 320-0908,,,
DOST Region VII (Region 7),http://www.ro7.dost.gov.ph/,webmaster@ro7.dost.gov.ph,"Lahug S&T Center, Sudlon,  Lahug, Cebu City 6000 +63 (032) 418-9032 / 254-8269 +63 (032) 416-7577","Lahug S&T Center, Sudlon,  Lahug, Cebu City 6000 ",63 (032) 418-9032 / 254-8269 ,63 (032) 416-7577,,
DOST Region VIII (Region 8),http://www.region8.dost.gov.ph/,emesperancilla@dost.gov.ph,"Government Center, Candahug,  Palo, Leyte 6501  +63 (053) 323-6356","Government Center, Candahug,  Palo, Leyte 6501  ",63 (053) 323-6356,,,
DOST Region X (Region 10),http://www.region10.dost.gov.ph/,apalamban@dost.gov.ph,"J.R. Borja Memorial Hospital Compound Carmen, Cagayan de Oro City 9000  +63 (088) 858-3931/3933","J.R. Borja Memorial Hospital Compound Carmen, Cagayan de Oro City 9000  ",63 (088) 858-3931/3933,,,
DOST Region XI (Region 11),http://www.region11.dost.gov.ph/,region11@dost.gov.ph,"Davao Medical Center Compound corner  Friendship and Dumanlas Roads Bajada, Davao City +63 (082) 227-5672 +63 (082) 221-5295","Davao Medical Center Compound corner  Friendship and Dumanlas Roads Bajada, Davao City ",63 (082) 227-5672 ,63 (082) 221-5295,,
DOST Region XII (Region 12),http://www.region12.dost.gov.ph/,zphrlaidan@dost.gov.ph,"LTP Complex, Cotabato City 9400  +63 (064) 421-2711  +63 (064) 421-1586","LTP Complex, Cotabato City 9400  ",63 (064) 421-2711  ,63 (064) 421-1586,,
